Jump-data sensitivity: benign scalar benchmark
==============================================
epsilon   | R_after       | corr_Einf    | Einf_gain | corr_E2      | E2_gain 
----------+---------------+--------------+-----------+--------------+---------
-0.200000 | -3.855253e-05 | 9.583385e-08 | 1.763403  | 2.722560e-08 | 1.579252
-0.100000 | -1.933378e-05 | 8.668887e-08 | 1.949428  | 2.534340e-08 | 1.696539
-0.050000 | -9.724402e-06 | 8.211638e-08 | 2.057978  | 2.441528e-08 | 1.761031
-0.010000 | -2.036902e-06 | 7.845839e-08 | 2.153927  | 2.367993e-08 | 1.815717
0         | -1.150266e-07 | 7.754389e-08 | 2.179329  | 2.349717e-08 | 1.829840
0.010000  | 1.806848e-06  | 7.662940e-08 | 2.205337  | 2.331486e-08 | 1.844149
0.050000  | 9.494348e-06  | 7.297140e-08 | 2.315889  | 2.259030e-08 | 1.903298
0.100000  | 1.910372e-05  | 6.839891e-08 | 2.470707  | 2.169608e-08 | 1.981743
0.200000  | 3.832247e-05  | 5.925394e-08 | 2.852024  | 1.995237e-08 | 2.154935
