Jump-data sensitivity: benign semidiscrete benchmark
====================================================
epsilon   | dimension | R_after_norm | corr_Einf    | Einf_gain | corr_E2      | E2_gain 
----------+-----------+--------------+--------------+-----------+--------------+---------
-0.200000 | 159       | 0.009176     | 5.839812e-05 | 4.291535  | 1.266063e-05 | 3.561517
-0.100000 | 159       | 0.004525     | 3.622144e-05 | 6.919039  | 9.574360e-06 | 4.709563
-0.050000 | 159       | 0.002200     | 2.540905e-05 | 9.863320  | 8.434906e-06 | 5.345768
-0.010000 | 159       | 3.392995e-04 | 1.675913e-05 | 14.954090 | 7.832668e-06 | 5.756793
0         | 159       | 1.258027e-04 | 1.459665e-05 | 17.169523 | 7.734393e-06 | 5.829940
0.010000  | 159       | 5.909048e-04 | 1.342226e-05 | 18.671789 | 7.658900e-06 | 5.887405
0.050000  | 159       | 0.002451     | 2.177959e-05 | 11.506990 | 7.595260e-06 | 5.936736
0.100000  | 159       | 0.004777     | 3.222626e-05 | 7.776811  | 8.046678e-06 | 5.603685
0.200000  | 159       | 0.009428     | 5.311960e-05 | 4.717986  | 1.031760e-05 | 4.370303
